,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
325,Filip Kosti?,MF,rs Serbia,29,1.it Juventus,1992,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Kalidou Koulibaly,DF,sn Senegal,30,1.eng Chelsea,1991,4,4,360,4,1,0,1,1,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
327,Jules Koundé,DF,fr France,23,1.es Barcelona,1998,6,5,480,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
328,Cheikhou Kouyaté,MF,sn Senegal,32,1.eng Nottingham,1989,1,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Mateo Kova?i?,MF,hr Croatia,28,1.eng Chelsea,1994,7,7,635,7.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
330,Andrej Kramari?,FW,hr Croatia,30,1.de Hoffenheim,1991,7,7,474,5.3,2,0,2,2,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
331,Rasmus Kristensen,"MF,DF",dk Denmark,24,1.eng Leeds United,1997,3,3,224,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
332,Grzegorz Krychowiak,MF,pl Poland,32,1.sa Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
333,Takefusa Kubo,"MF,FW",jp Japan,21,1.es Real Sociedad,2001,2,2,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Mohammed Kudus,"MF,FW",gh Ghana,21,1.nl Ajax,2000,3,3,247,2.7,2,0,2,2,0,0,1,0,0.73,0,0.73,0.73,0.73,Matches
335,Pierre Kunde,MF,cm Cameroon,26,1.gr Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
336,Garang Kuol,MF,au Australia,17,1.au Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Daniel Kyereh,"FW,MF",gh Ghana,26,1.de Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
338,Kwon Kyung-won,DF,kr Korea Republic,30,1.jp Gamba Osaka,1992,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Aïssa Laïdouni,MF,tn Tunisia,25,1.hu Ferencváros,1996,3,3,243,2.7,0,1,1,0,0,0,1,0,0,0.37,0.37,0,0.37,Matches
340,Tariq Lamptey,DF,gh Ghana,21,1.eng Brighton,2000,2,1,102,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
341,Noa Lang,"FW,MF",nl Netherlands,22,1.be Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
342,Aymeric Laporte,DF,es Spain,28,1.eng Manchester City,1994,3,3,300,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
343,Cyle Larin,FW,ca Canada,27,1.be Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
344,Richie Laryea,"MF,DF",ca Canada,27,1.us Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
345,Darko Lazovi?,MF,rs Serbia,31,1.it Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
346,Rafael Leão,"FW,MF",pt Portugal,23,1.it Milan,1999,5,0,88,1,2,0,2,2,0,0,0,0,2.05,0,2.05,2.05,2.05,Matches
347,Mathew Leckie,MF,au Australia,31,1.au Melb City,1991,4,4,333,3.7,1,1,2,1,0,0,0,0,0.27,0.27,0.54,0.27,0.54,Matches
348,Robert Lewandowski,FW,pl Poland,33,1.es Barcelona,1988,4,4,360,4,2,1,3,1,1,2,0,0,0.5,0.25,0.75,0.25,0.5,Matches
349,Matthijs de Ligt,DF,nl Netherlands,22,1.de Bayern Munich,1999,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
350,Jesper Lindstrøm,FW,dk Denmark,22,1.de Frankfurt,2000,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Marko Livaja,FW,hr Croatia,28,1.hr Hajduk Split,1993,6,3,241,2.7,1,1,2,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,Matches
352,Dominik Livakovi?,GK,hr Croatia,27,1.hr Dinamo Zagreb,1995,7,7,690,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
353,Marcos Llorente,DF,es Spain,27,1.es Atlético Madrid,1995,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
354,Hugo Lloris,GK,fr France,35,1.eng Tottenham,1986,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Dejan Lovren,DF,hr Croatia,32,1.ru Zenit,1989,6,6,600,6.7,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
356,Hirving Lozano,"FW,MF",mx Mexico,26,1.it Napoli,1995,3,3,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
357,Romelu Lukaku,FW,be Belgium,29,1.it Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
358,Saša Luki?,MF,rs Serbia,25,1.it Torino,1996,3,3,245,2.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
359,Ali Maâloul,MF,tn Tunisia,32,1.eg Al Ahly,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Awer Mabil,"FW,MF",au Australia,26,1.es Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
361,Alexis Mac Allister,MF,ar Argentina,23,1.eng Brighton,1998,6,6,550,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
362,Jamie Maclaren,FW,au Australia,28,1.au Melb City,1993,3,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
363,Assim Madibo,MF,qa Qatar,25,1.qa Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
364,Abdullah Madu,DF,sa Saudi Arabia,28,1.sa Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
365,Daizen Maeda,FW,jp Japan,24,1.sct Celtic,1997,3,3,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
366,Harry Maguire,DF,eng England,29,1.eng Manchester Utd,1993,5,5,429,4.8,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
367,Lovro Majer,MF,hr Croatia,24,1.fr Rennes,1998,7,1,130,1.4,1,0,1,1,0,0,0,0,0.69,0,0.69,0.69,0.69,Matches
368,Nemanja Maksimovi?,MF,rs Serbia,27,1.es Getafe,1995,3,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Abdulellah Al-Malki,MF,sa Saudi Arabia,27,1.sa Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
370,Steve Mandanda,GK,fr France,37,1.fr Rennes,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
371,José María Giménez,DF,uy Uruguay,27,1.es Atlético Madrid,1995,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
372,João Mário,MF,pt Portugal,29,1.pt Benfica,1993,2,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Marquinhos,DF,br Brazil,28,1.fr PSG,1994,5,4,426,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
374,Henry Martín,FW,mx Mexico,29,1.mx América,1992,2,2,146,1.6,1,0,1,1,0,0,0,0,0.62,0,0.62,0.62,0.62,Matches
375,Gabriel Martinelli,FW,br Brazil,20,1.eng Arsenal,2001,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Carlos Martínez,DF,cr Costa Rica,23,1.cr San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Emiliano Martínez,GK,ar Argentina,29,1.eng Aston Villa,1992,7,7,690,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
378,Lautaro Martínez,FW,ar Argentina,24,1.it Inter,1997,6,2,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Lisandro Martínez,DF,ar Argentina,24,1.eng Manchester Utd,1998,5,2,303,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
380,Pape Matar Sarr,MF,sn Senegal,19,1.eng Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
381,Rónald Matarrita,"DF,MF",cr Costa Rica,27,1.us FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Eric Maxim Choupo-Moting,FW,cm Cameroon,33,1.de Bayern Munich,1989,3,3,253,2.8,1,0,1,1,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
383,Noussair Mazraoui,DF,ma Morocco,24,1.de Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
384,Kylian Mbappé,"MF,FW",fr France,23,1.fr PSG,1998,7,6,598,6.6,8,2,10,6,2,2,0,0,1.2,0.3,1.51,0.9,1.2,Matches
385,Bryan Mbeumo,"FW,MF",cm Cameroon,22,1.eng Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Riley McGree,"MF,FW",au Australia,23,2.eng Middlesbrough,1998,4,4,265,2.9,0,1,1,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
387,Weston McKennie,MF,us USA,23,1.it Juventus,1998,4,4,271,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
388,Hannibal Mejbri,MF,tn Tunisia,19,2.eng Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Memphis,FW,nl Netherlands,28,1.es Barcelona,1994,5,3,297,3.3,1,0,1,1,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
390,Nuno Mendes,DF,pt Portugal,19,1.fr PSG,2002,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
391,Jhegson Méndez,MF,ec Ecuador,25,1.us LAFC,1997,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
392,Édouard Mendy,GK,sn Senegal,30,1.eng Chelsea,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
393,Nampalys Mendy,MF,sn Senegal,29,1.eng Leicester City,1992,4,3,272,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
394,Gideon Mensah,DF,gh Ghana,23,1.fr Auxerre,1998,1,1,87,1,0,1,1,0,0,0,0,0,0,1.03,1.03,0,1.03,Matches
395,Chris Mepham,DF,wls Wales,24,1.eng Bournemouth,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
396,Yassine Meriah,DF,tn Tunisia,28,1.tn Espérance Tunis,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Dries Mertens,FW,be Belgium,35,1.tr Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Lionel Messi,FW,ar Argentina,34,1.fr PSG,1987,7,7,690,7.7,7,3,10,3,4,5,1,0,0.91,0.39,1.3,0.39,0.78,Matches
399,Thomas Meunier,MF,be Belgium,30,1.de Dortmund,1991,3,2,211,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
400,Nikola Milenkovi?,DF,rs Serbia,24,1.it Fiorentina,1997,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Arkadiusz Milik,FW,pl Poland,28,1.it Juventus,1994,3,1,101,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
402,Sergej Milinkovi?-Savi?,"MF,FW",rs Serbia,27,1.it Lazio,1995,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0,0.39,0.39,0.39,Matches
403,Vanja Milinkovi?-Savi?,GK,rs Serbia,25,1.it Torino,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,Éder Militão,DF,br Brazil,24,1.es Real Madrid,1998,4,4,347,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
405,Liam Millar,"FW,MF",ca Canada,22,1.ch Basel,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Kamal Miller,DF,ca Canada,25,1.us CF Montréal,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
407,Kim Min-jae,DF,kr Korea Republic,25,1.it Napoli,1996,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Takumi Minamino,"FW,MF",jp Japan,27,1.fr Monaco,1995,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
409,Kaoru Mitoma,"FW,MF",jp Japan,25,1.eng Brighton,1997,4,0,165,1.8,0,1,1,0,0,0,0,0,0,0.55,0.55,0,0.55,Matches
410,Aleksandar Mitrovi?,FW,rs Serbia,27,1.eng Fulham,1994,3,3,262,2.9,2,0,2,2,0,0,1,0,0.69,0,0.69,0.69,0.69,Matches
411,Stefan Mitrovi?,DF,rs Serbia,32,1.es Getafe,1990,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
412,Filip Mladenovi?,MF,rs Serbia,30,1.pl Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
413,Luka Modri?,MF,hr Croatia,36,1.es Real Madrid,1985,7,7,653,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
414,Ismaeel Mohammad,DF,qa Qatar,32,1.qa Al Duhail SC,1990,2,2,174,1.9,0,1,1,0,0,0,1,0,0,0.52,0.52,0,0.52,Matches
415,Milad Mohammadi,DF,ir IR Iran,28,1.gr AEK Athens,1993,3,3,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
416,Sadegh Moharrami,DF,ir IR Iran,26,1.hr Dinamo Zagreb,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
417,Nahuel Molina,"DF,MF",ar Argentina,24,1.es Atlético Madrid,1998,7,6,567,6.3,1,1,2,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,Matches
418,César Montes,DF,mx Mexico,25,1.mx Monterrey,1997,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
419,Gonzalo Montiel,DF,ar Argentina,25,1.es Sevilla,1997,4,1,118,1.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
420,Kim Moon-hwan,DF,kr Korea Republic,26,1.kr Jeonbuk,1995,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
421,Kieffer Moore,FW,wls Wales,29,1.eng Bournemouth,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
422,Shaq Moore,"DF,MF",us USA,25,1.us Nashville SC,1996,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
423,Aaron Mooy,MF,au Australia,31,1.sct Celtic,1990,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
424,Ederson Moraes,GK,br Brazil,28,1.eng Manchester City,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
425,Álvaro Morata,FW,es Spain,29,1.es Atlético Madrid,1992,4,1,185,2.1,3,1,4,3,0,0,0,0,1.46,0.49,1.95,1.46,1.95,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Héctor Moreno,DF,mx Mexico,34,1.mx Monterrey,1988,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
427,Hidemasa Morita,MF,jp Japan,27,1.pt Sporting CP,1995,3,3,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
428,Joe Morrell,"FW,MF",wls Wales,25,3.eng Portsmouth,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
429,Jordan Morris,"FW,MF",us USA,27,1.us Seattle Sounders,1994,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
430,Youssoufa Moukoko,FW,de Germany,17,1.de Dortmund,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
431,Mason Mount,MF,eng England,23,1.eng Chelsea,1999,4,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Youssef Msakni,FW,tn Tunisia,31,1.qa Al-Arabi,1990,2,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
433,Thomas Müller,"FW,MF",de Germany,32,1.de Bayern Munich,1989,3,3,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
434,Munir,GK,ma Morocco,33,1.sa Al-Wehda,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Mohammed Muntari,FW,qa Qatar,28,1.qa Al Duhail SC,1993,3,0,63,0.7,1,0,1,1,0,0,0,0,1.43,0,1.43,1.43,1.43,Matches
436,Yunus Musah,MF,us USA,19,1.es Valencia,2002,4,4,343,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Jamal Musiala,MF,de Germany,19,1.de Bayern Munich,2003,3,3,258,2.9,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
438,Joakim Mæhle,"MF,DF",dk Denmark,25,1.it Atalanta,1997,3,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
439,Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27,1.tr Be?ikta?,1995,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
440,Y?to Nagatomo,"MF,DF",jp Japan,35,1.jp FC Tokyo,1986,4,4,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
441,Sami Al-Najei,MF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
442,Keylor Navas,GK,cr Costa Rica,35,1.fr PSG,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
443,Iliman Ndiaye,"MF,FW",sn Senegal,22,2.eng Sheffield United,2000,3,2,135,1.5,0,1,1,0,0,0,0,0,0,0.67,0.67,0,0.67,Matches
444,Victor Nelsson,DF,dk Denmark,23,1.tr Galatasaray,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
445,Manuel Neuer,GK,de Germany,36,1.de Bayern Munich,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
446,Rúben Neves,MF,pt Portugal,25,1.eng Wolves,1997,5,4,268,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
447,Neymar,"MF,FW",br Brazil,30,1.fr PSG,1992,3,3,279,3.1,2,0,2,1,1,1,0,0,0.65,0,0.65,0.32,0.32,Matches
448,Moumi Ngamaleu,MF,cm Cameroon,27,1.ru Dynamo Moskva,1994,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
449,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1.cm Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
450,Nicolas Nkoulou,DF,cm Cameroon,32,1.gr Aris,1990,2,2,180,2,0,1,1,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Andries Noppert,GK,nl Netherlands,28,1.nl Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Ahmad Nourollahi,MF,ir IR Iran,29,1.ae Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
453,Olivier Ntcham,MF,cm Cameroon,26,2.eng Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
454,Matheus Nunes,MF,pt Portugal,23,1.eng Wolves,1998,2,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
455,Darwin Núñez,FW,uy Uruguay,22,1.eng Liverpool,1999,3,3,240,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
456,Christian Nørgaard,MF,dk Denmark,28,1.eng Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
457,Guillermo Ochoa,GK,mx Mexico,36,1.mx América,1985,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
458,Denis Odoi,"DF,MF",gh Ghana,34,1.be Club Brugge,1988,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
459,Noah Okafor,"FW,MF",ch Switzerland,22,1.at RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
460,Mathías Olivera,"DF,MF",uy Uruguay,24,1.it Napoli,1997,3,3,253,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
461,Dani Olmo,FW,es Spain,24,1.de RB Leipzig,1998,4,4,367,4.1,1,1,2,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,Matches
462,Amadou Onana,MF,be Belgium,20,1.eng Everton,2001,2,1,104,1.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
463,André Onana,GK,cm Cameroon,26,1.it Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
464,Gaël Ondoua,MF,cm Cameroon,26,2.de Hannover 96,1995,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
465,Loïs Openda,FW,be Belgium,22,1.fr Lens,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
466,Mislav Orši?,MF,hr Croatia,29,1.hr Dinamo Zagreb,1992,6,1,162,1.8,1,2,3,1,0,0,0,0,0.56,1.11,1.67,0.56,1.67,Matches
467,Jonathan Osorio,MF,ca Canada,30,1.us Toronto FC,1992,3,1,119,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
468,Nicolás Otamendi,DF,ar Argentina,34,1.pt Benfica,1988,7,7,690,7.7,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
469,Otávio,MF,pt Portugal,27,1.pt Porto,1995,3,3,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
470,Samuel Oum Gouet,MF,cm Cameroon,24,1.be Mechelen,1997,2,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
471,Azzedine Ounahi,MF,ma Morocco,22,1.fr Angers,2000,7,6,568,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
472,Bryan Oviedo,DF,cr Costa Rica,32,1.us Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
473,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
474,Juan Pablo Vargas,DF,cr Costa Rica,27,1.co Millonarios,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
475,Exequiel Palacios,"DF,MF",ar Argentina,23,1.de Leverkusen,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
476,João Palhinha,MF,pt Portugal,26,1.eng Fulham,1995,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
477,Lucas Paquetá,MF,br Brazil,24,1.eng West Ham,1997,4,4,314,3.5,1,1,2,1,0,0,0,0,0.29,0.29,0.57,0.29,0.57,Matches
478,Leandro Paredes,MF,ar Argentina,27,1.it Juventus,1994,5,2,225,2.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
479,Thomas Partey,MF,gh Ghana,29,1.eng Arsenal,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
480,Mario Pašali?,FW,hr Croatia,27,1.it Atalanta,1995,7,2,271,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
481,Benjamin Pavard,DF,fr France,26,1.de Bayern Munich,1996,1,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
482,Strahinja Pavlovi?,DF,rs Serbia,21,1.at RB Salzburg,2001,3,3,235,2.6,1,0,1,1,0,0,2,0,0.38,0,0.38,0.38,0.38,Matches
483,Pedri,MF,es Spain,19,1.es Barcelona,2002,4,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
484,Pedro,FW,br Brazil,24,1.br Flamengo,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
485,Facundo Pellistri,"MF,FW",uy Uruguay,20,1.eng Manchester Utd,2001,3,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
486,Pepe,DF,pt Portugal,39,1.pt Porto,1983,4,4,360,4,1,0,1,1,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
487,Danilo Pereira,DF,pt Portugal,30,1.fr PSG,1991,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
488,Ivan Periši?,"FW,MF",hr Croatia,33,1.eng Tottenham,1989,7,7,669,7.4,1,3,4,1,0,0,0,0,0.13,0.4,0.54,0.13,0.54,Matches
489,Bruno Petkovi?,FW,hr Croatia,27,1.hr Dinamo Zagreb,1994,6,1,234,2.6,1,0,1,1,0,0,1,0,0.38,0,0.38,0.38,0.38,Matches
490,Germán Pezzella,DF,ar Argentina,30,1.es Real Betis,1991,3,0,60,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
491,Kalvin Phillips,"DF,MF",eng England,26,1.eng Manchester City,1995,2,0,42,0.5,0,1,1,0,0,0,0,0,0,2.14,2.14,0,2.14,Matches
