Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
194,Papa Ba,es ESP,FW,Girona,es La Liga,19,2004,1,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Shavy Babicka,ga GAB,MF,Toulouse,fr Ligue 1,24,2000,30,11,"1,186",13.2,4,2,6,4,0,0,2,0,0.3,0.15,0.46,0.3,0.46,Matches
196,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19,2005,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Aliou Badara Baldé,gn GUI,FW,Bochum,de Bundesliga,21,2002,5,0,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
198,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24,2000,32,31,"2,686",29.8,1,1,2,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,Matches
199,Milan Badelj,hr CRO,MF,Genoa,it Serie A,35,1989,23,21,"1,472",16.4,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
200,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Álex Baena,es ESP,"MF,FW",Villarreal,es La Liga,23,2001,32,30,"2,595",28.8,7,9,16,7,0,1,9,0,0.24,0.31,0.55,0.24,0.55,Matches
202,Leon Bailey,jm JAM,MF,Aston Villa,eng Premier League,26,1997,24,14,"1,139",12.7,1,2,3,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,Matches
203,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30,1994,12,8,617,6.9,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
204,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,24,1999,29,11,939,10.4,2,1,3,2,0,0,1,0,0.19,0.1,0.29,0.19,0.29,Matches
205,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,es La Liga,19,2004,14,12,969,10.8,1,0,1,1,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
