"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
291;"Evanilson";"Bournemouth";2;160;0;0;2;0.25;0.25;0.83;1.13;0.61;0.14;0.14;0.47;0.61;0.61;0.64;0.34
292;"Ferdi Kadioglu";"Brighton";1;90;0;0;0;0;0;0;0.04;0.04;0;0;0;0;0;0.04;0.04
293;"Ayden Heaven";"Manchester United";1;90;0;0;0;0.13;0.13;0;0.2;0.18;0.13;0.13;0;0.13;0.13;0.2;0.18
294;"Jaydee Canvot";"Crystal Palace";2;180;0;0;0;0.02;0.02;0;1.13;1.11;0.01;0.01;0;0.01;0.01;0.56;0.55
295;"Aladji Bamba";"Newcastle United";1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
296;"Thiago";"Brentford";2;174;0;0;0;1.8;1.04;0;1.07;0.04;0.93;0.54;0;0.93;0.54;0.55;0.02
297;"Antonín Kinsky";"Tottenham";2;180;0;0;0;0;0;0;0.39;0.39;0;0;0;0;0;0.2;0.2
298;"Diego Gómez";"Brighton";2;180;0;0;1;0.23;0.23;0.81;1.26;0.21;0.12;0.12;0.41;0.52;0.52;0.63;0.11
299;"Vitor Reis";"Manchester City";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;"Bazoumana Touré";"Newcastle United";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;"Amar Dedic";"Newcastle United";2;180;0;0;1;0.06;0.06;0.14;0.95;0.75;0.03;0.03;0.07;0.1;0.1;0.48;0.38
302;"Rio Ngumoha";"Liverpool";2;80;0;0;0;0.05;0.05;0;0.15;0.1;0.06;0.06;0;0.06;0.06;0.17;0.11
303;"Robin Roefs";"Sunderland";2;180;0;0;0;0;0;0;0.6;0.6;0;0;0;0;0;0.3;0.3
304;"Trai Hume";"Sunderland";2;172;0;0;0;0.05;0.05;0.82;2.04;1.5;0.03;0.03;0.43;0.46;0.46;1.07;0.78
305;"Dan Ballard";"Sunderland";2;180;0;0;0;0.01;0.01;0;0.15;0.15;0.01;0.01;0;0.01;0.01;0.08;0.08
306;"Noah Sadiki";"Sunderland";2;180;0;0;0;0.31;0.31;0.06;0.95;0.63;0.15;0.15;0.03;0.18;0.18;0.48;0.31
307;"Chemsdine Talbi";"Sunderland";1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
308;"Chris Rigg";"Sunderland";2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
309;"Luka Vuskovic";"Brighton";2;180;0;0;0;0.37;0.37;0;1.35;1.35;0.18;0.18;0;0.18;0.18;0.68;0.68
310;"Estêvão";"Chelsea";1;5;0;0;0;0;0;0;0.06;0.06;0;0;0;0;0;1;1
311;"Jorrel Hato";"Chelsea";2;157;0;0;1;0.03;0.03;0.59;0.7;0.7;0.02;0.02;0.34;0.36;0.36;0.4;0.4
312;"Igor Jesus";"Nottingham Forest";2;180;0;0;0;1.32;1.32;0.13;1.84;0.69;0.66;0.66;0.07;0.73;0.73;0.92;0.35
313;"Jair";"Nottingham Forest";2;180;0;0;0;0;0;0;1.18;1.18;0;0;0;0;0;0.59;0.59
314;"Ibrahim Osman";"Brighton";2;21;0;0;0;0;0;0.03;0.31;0.31;0;0;0.12;0.12;0.12;1.34;1.34
315;"Ao Tanaka";"Leeds";1;41;0;0;0;0;0;0;0.04;0.04;0;0;0;0;0;0.09;0.09
316;"Tarik Muharemovic";"Leeds";2;180;0;0;0;0.06;0.06;0;0.1;0.04;0.03;0.03;0;0.03;0.03;0.05;0.02
317;"Mamadou Sangaré";"Brentford";2;167;0;0;1;0.24;0.24;0.62;1.1;0.88;0.13;0.13;0.34;0.47;0.47;0.59;0.47
318;"Kevin";"Fulham";2;21;0;0;0;0;0;0;0.04;0.04;0;0;0;0;0;0.16;0.16
319;"Senne Lammens";"Manchester United";2;180;0;0;0;0;0;0;0.47;0.47;0;0;0;0;0;0.23;0.23
320;"Ryan McAidoo";"Manchester City";1;7;0;0;0;0.18;0.18;0;0.18;0;2.33;2.33;0;2.33;2.33;2.33;0
321;"Luke O&#039;Nien";"Sunderland";1;69;0;0;0;0.02;0.02;0;0.86;0.86;0.03;0.03;0;0.03;0.03;1.12;1.12
322;"Charalampos Kostoulas";"Brighton";2;103;0;0;0;0.34;0.34;0.04;0.38;0.04;0.3;0.3;0.04;0.33;0.33;0.33;0.04
323;"George Hemmings";"Aston Villa";1;90;0;0;0;0;0;0.03;0.03;0;0;0;0.03;0.03;0.03;0.03;0
324;"Shea Lacey";"Manchester United";1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
325;"César Palacios";"Fulham";2;153;0;0;0;0.19;0.19;0;0.24;0.09;0.11;0.11;0;0.11;0.11;0.14;0.05
326;"Alex Tóth";"Bournemouth";1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
327;"Rayan";"Bournemouth";2;180;0;0;0;0.87;0.87;0.08;1.6;0.65;0.43;0.43;0.04;0.47;0.47;0.8;0.32
328;"Alysson Edward";"Aston Villa";1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
329;"Milan van Ewijk";"Coventry";2;180;0;0;0;0;0;0.12;0.28;0.28;0;0;0.06;0.06;0.06;0.14;0.14
330;"Jay Dasilva";"Coventry";2;180;0;0;0;0.1;0.1;0;0.42;0.42;0.05;0.05;0;0.05;0.05;0.21;0.21
331;"Caleb Yirenkyi";"Coventry";2;137;0;0;0;0.03;0.03;0.06;0.37;0.31;0.02;0.02;0.04;0.06;0.06;0.24;0.2
332;"Brandon Thomas-Asante";"Coventry";2;102;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0.08;0.08
