Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
348,Victor Boniface,ng NGA,FW,Werder Bremen,de Bundesliga,24,2000,11,2,333,3.7,0,2,2,0,0,0,1,0,0,0.54,0.54,0,0.54,Matches
349,Rahim Bonkano,ne NIG,DF,Oviedo,es La Liga,23,2002,27,18,"1,713",19,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
350,Ange-Yoan Bonny,ci CIV,FW,Inter,it Serie A,21,2003,33,10,"1,142",12.7,5,4,9,5,0,0,1,0,0.39,0.32,0.71,0.39,0.71,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Thiago Borbas,uy URU,FW,Oviedo,es La Liga,23,2002,12,0,179,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
352,Sebastiaan Bornauw,be BEL,DF,Leeds United,eng Premier League,26,1999,12,5,429,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
353,Gennaro Borrelli,it ITA,FW,Cagliari,it Serie A,25,2000,27,13,"1,275",14.2,5,1,6,5,0,0,4,0,0.35,0.07,0.42,0.35,0.42,Matches
354,Olivier Boscagli,fr FRA,DF,Brighton,eng Premier League,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
355,Sebastián Boselli,uy URU,DF,Getafe,es La Liga,21,2003,11,4,380,4.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
356,Jean-Baptiste Bosey,fr FRA,FW,Strasbourg,fr Ligue 1,17,2008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
357,Sven Botman,nl NED,DF,Newcastle,eng Premier League,25,2000,25,21,"1,835",20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,Matches
358,Ayyoub Bouaddi,ma MAR,MF,Lille,fr Ligue 1,17,2007,30,28,"2,321",25.8,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches
359,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,20,2004,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Badredine Bouanani,dz ALG,MF,Stuttgart,de Bundesliga,20,2004,14,5,463,5.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
361,Kaïl Boudache,fr FRA,"MF,FW",Nice,fr Ligue 1,19,2006,13,3,531,5.9,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
362,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,25,1999,25,18,"1,694",18.8,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches
363,Sofiane Boufal,ma MAR,"MF,FW",Le Havre,fr Ligue 1,31,1993,17,13,"1,019",11.3,1,4,5,1,0,1,2,0,0.09,0.35,0.44,0.09,0.44,Matches
364,Justin Bourgault,fr FRA,FW,Brest,fr Ligue 1,19,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
365,Jarrod Bowen,eng ENG,"MF,FW",West Ham,eng Premier League,28,1996,38,38,"3,403",37.8,9,11,20,8,1,1,4,0,0.24,0.29,0.53,0.21,0.5,Matches
366,Kieron Bowie,sct SCO,FW,Hellas Verona,it Serie A,22,2002,14,14,"1,200",13.3,4,0,4,4,0,0,1,0,0.3,0,0.3,0.3,0.3,Matches
367,Lucas Boyé,ar ARG,FW,Alavés,es La Liga,29,1996,29,22,"1,958",21.8,11,1,12,8,3,3,4,1,0.51,0.05,0.55,0.37,0.41,Matches
368,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,23,2001,30,29,"2,542",28.2,1,2,3,1,0,0,7,0,0.04,0.07,0.11,0.04,0.11,Matches
369,Rosen Bozhinov,bg BUL,DF,Pisa,it Serie A,20,2005,9,8,610,6.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
